Company_name,layoff_size,dates,Ticker
,27.0,['2014-07-01'],NAN
"""21"" CLUB",154.0,['2018-02-06'],
#PAID,19.0,['2023-01-27'],PAID-USD
&OPEN,56.0,"['2022-11-17', '2023-04-20']",OPEN
"1 BB FOOD AND DRINK CORP. (1 HOTEL BROOKLYN, BRIDGE)",144.0,['2018-04-06'],BAER
1 CLICK LOGISTICS,12.0,['2025-01-30'],
1 HOTEL BROOKLYN BRIDGE,169.0,['2020-03-25'],
1 HOTEL CENTRAL PARK,174.0,"['2019-04-26', '2019-05-13', '2020-03-30']",
1 HOTEL SOUTH BEACH,563.0,"['2019-05-13', '2020-04-22', '2020-08-13']",
1 HOTEL WEST HOLLYWOOD,1018.0,"['2020-03-25', '2020-04-13', '2020-06-10', '2021-01-07']",
"1 PROSPECT PARK ALF, LLC",68.0,['2014-03-17'],VRT
1-800 FLOWERS.COM,267.0,"['2011-07-21', '2014-07-31']",FLWS
"10 ROADS EXPRESS LLC, 10 ROADS SERVICE, LLC, 10 ROADS LOGISTICS, LLC",84.0,['2025-12-01'],VRT
10 ROADS EXPRESS LLC.,433.0,"['2023-11-08', '2025-01-23', '2025-12-01', '2025-12-02']",
100 HOSPITALITY LLC,138.0,"['2020-03-17', '2020-04-07']",
100 RESILIENT CITIES (A SPONSORED PROJECT OF ROCKEFELLER PHILANTHROPY ADVISORS),49.0,['2019-04-18'],
100 SARDINES MANAGEMENT LLC D/B/A LUPULO,55.0,['2017-10-20'],
100 THIEVES,12.0,"['2022-07-13', '2023-01-10']",
100TH BOMB GROUP (SPECIALTY RESTAURANTS CORPORATION),59.0,['2020-10-19'],
102,69.0,['2018-09-05'],1021.HK
10X GENOMICS,100.0,['2022-08-04'],TXG
"10X GENOMICS, INC. (5500)",93.0,['2025-05-08'],TXG
11 HOWARD (SOHO HOTEL MANAGER LLC),123.0,['2020-05-27'],
11 MAIN LLC,79.0,['2015-07-13'],
1100 GROUP LLC THE STAR & LITTLE STAR PLAZA,53.0,['2020-05-01'],
"114 PQ BAKERY, LLC",128.0,['2020-04-17'],VRT
"115 NEW MONTGOMERY LLC, DBA THE BIRD",18.0,['2020-04-10'],
"116 PQ CENTRAL PARK, INC.",116.0,['2020-04-17'],MU
"117 NEW MONTGOMERY LLC, DBA SUPER DUPER",16.0,['2020-04-10'],
"117TH APPLE, LLC",45.0,['2020-03-25'],VRT
118 CHURCHILL AVENUE CORPORATION,138.0,['2013-10-01'],
"11TH STREET HOSPITALITY LLC DBA CATHEDRALE, ALPHABET BAR AND LITTLE SISTER",223.0,"['2020-04-01', '2020-08-11']",
121 AT OXFORD LLC DBA 121 RESTAURANT AND BAR,41.0,['2020-03-17'],
"121 PQ NEW YORK, INC.",38.0,['2020-04-17'],MU
1230 RT 22 RESTAURANT LLC,51.0,['2020-03-01'],
"125 W. 44 RESTAURANT ASSOCIATES, LLC DBA HUNT & FISH CLUB",74.0,['2020-04-07'],
1266 APARTMENT CORP.,81.0,['2023-02-01'],
1266 APARTMENT CORPORATION (HORIZON HOUSE),78.0,['2019-01-01'],
"127 W. 43RD ST. CHOPHOUSE, INC. (HEARTLAND BREWERY & CHOPHOUSE, AND HB BURGER)",106.0,['2019-12-30'],
1286 RR OPERATING INC. (NATHAN'S/HAAGEN DAZS/KFC/TIM HORTON'S) (FOOD COURT),66.0,['2012-10-02'],
"12:05AM PRODUCTIONS, LLC",107.0,['2020-05-13'],VRT
12TH RESTAURANT INC. (LINDY'S RESTAURANT),25.0,['2013-11-14'],
12TH RESTAURANT INC. (NATHAN'S/ ROY ROGER'S/TIM HORTON'S FOOD COURT),21.0,['2013-11-14'],
