,2026-03-31,2025-12-31,2025-06-30,2025-03-31
Free Cash Flow,-207911.0,-94235.0,-383876.0,0.0
Repayment Of Debt,,0.0,,
Issuance Of Debt,,0.0,0.0,45000.0
Issuance Of Capital Stock,,0.0,,
End Cash Position,456983.0,664894.0,884323.0,0.0
Beginning Cash Position,664894.0,759129.0,0.0,0.0
Changes In Cash,-207911.0,-94235.0,-2272520.0,3156265.0
Financing Cash Flow,,0.0,275491356.0,3156265.0
Cash Flow From Continuing Financing Activities,,0.0,275491356.0,3156265.0
Net Other Financing Charges,,0.0,-3433644.0,3111265.0
Proceeds From Stock Option Exercised,,0.0,,
Net Common Stock Issuance,,0.0,,
Common Stock Issuance,,0.0,,
Net Issuance Payments Of Debt,,0.0,-205000.0,45000.0
Net Short Term Debt Issuance,,0.0,0.0,45000.0
Short Term Debt Issuance,,0.0,0.0,45000.0
Net Long Term Debt Issuance,,0.0,,
Long Term Debt Payments,,0.0,,
Investing Cash Flow,,0.0,,
Cash Flow From Continuing Investing Activities,,0.0,,
Net Other Investing Changes,,0.0,,
Operating Cash Flow,-207911.0,-94235.0,-383876.0,0.0
Cash Flow From Continuing Operating Activities,-207911.0,-94235.0,-383876.0,0.0
Change In Working Capital,10475.0,59104.0,8089467.0,43850.0
Change In Payables And Accrued Expense,52076.0,24227.0,8267041.0,43850.0
Change In Accrued Expense,52076.0,24227.0,-12959.0,43850.0
Change In Payable,,0.0,,
Change In Prepaid Assets,-41601.0,34877.0,-177574.0,0.0
Other Non Cash Items,-2457854.0,-2737287.0,,
Net Income From Continuing Operations,2239468.0,2583948.0,-5605852.0,-43850.0
