,2026-03-31,2025-03-31,2024-12-31
Free Cash Flow,-25803000.0,-13175000.0,-13356000.0
Repayment Of Debt,-33639000.0,-1557000.0,-250000.0
Issuance Of Debt,,,9823000.0
Issuance Of Capital Stock,98095000.0,0.0,
Capital Expenditure,-2159000.0,-94000.0,-334000.0
Interest Paid Supplemental Data,957000.0,1194000.0,1049000.0
Income Tax Paid Supplemental Data,4000.0,1000.0,16000.0
End Cash Position,125346000.0,22488000.0,37195000.0
Beginning Cash Position,59343000.0,37195000.0,40855000.0
Changes In Cash,66003000.0,-14707000.0,-3660000.0
Financing Cash Flow,91806000.0,-1547000.0,9580000.0
Cash Flow From Continuing Financing Activities,91806000.0,-1547000.0,9580000.0
Net Other Financing Charges,-21071000.0,,
Proceeds From Stock Option Exercised,48421000.0,10000.0,7000.0
Net Preferred Stock Issuance,71805000.0,0.0,
Preferred Stock Issuance,71805000.0,0.0,
Net Common Stock Issuance,26290000.0,0.0,
Common Stock Issuance,26290000.0,0.0,
Net Issuance Payments Of Debt,-33639000.0,-1557000.0,9573000.0
Net Long Term Debt Issuance,-33639000.0,-1557000.0,9573000.0
Long Term Debt Payments,-33639000.0,-1557000.0,-250000.0
Long Term Debt Issuance,,,9823000.0
Investing Cash Flow,-2159000.0,-79000.0,-218000.0
Cash Flow From Continuing Investing Activities,-2159000.0,-79000.0,-218000.0
Net Investment Purchase And Sale,,,116000.0
Net PPE Purchase And Sale,-2159000.0,-79000.0,-334000.0
Sale Of PPE,0.0,15000.0,0.0
Purchase Of PPE,-2159000.0,-94000.0,-334000.0
Operating Cash Flow,-23644000.0,-13081000.0,-13022000.0
Cash Flow From Continuing Operating Activities,-23644000.0,-13081000.0,-13022000.0
Change In Working Capital,34000.0,-1841000.0,-362000.0
Change In Other Working Capital,-3435000.0,-784000.0,-775000.0
Change In Other Current Liabilities,-201000.0,-183000.0,-212000.0
Change In Payables And Accrued Expense,6952000.0,-336000.0,31000.0
Change In Accrued Expense,3253000.0,0.0,327000.0
Change In Payable,3699000.0,-336000.0,-296000.0
Change In Account Payable,3699000.0,-336000.0,-296000.0
Change In Prepaid Assets,-2308000.0,-506000.0,779000.0
Change In Receivables,-974000.0,-32000.0,-185000.0
Changes In Account Receivables,-974000.0,-32000.0,-185000.0
Other Non Cash Items,89379000.0,401000.0,-6228000.0
Stock Based Compensation,1938000.0,513000.0,458000.0
Asset Impairment Charge,1226000.0,0.0,
Depreciation Amortization Depletion,626000.0,564000.0,572000.0
Depreciation And Amortization,626000.0,564000.0,572000.0
Depreciation,626000.0,564000.0,572000.0
Operating Gains Losses,-26428000.0,15000.0,-382000.0
Gain Loss On Investment Securities,-26555000.0,-46000.0,-49000.0
Net Foreign Currency Exchange Gain Loss,127000.0,63000.0,-333000.0
Gain Loss On Sale Of PPE,0.0,-2000.0,0.0
Net Income From Continuing Operations,-90419000.0,-12733000.0,-13427000.0
