,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Free Cash Flow,-141401.0,-73228.0,-339500.0,0.0,0.0
Repayment Of Debt,,0.0,,,
Issuance Of Capital Stock,,0.0,,,
End Cash Position,237393.0,378794.0,452101.0,0.0,0.0
Beginning Cash Position,378794.0,452101.0,0.0,0.0,0.0
Changes In Cash,-141401.0,-73307.0,,,
Financing Cash Flow,,-79.0,,,
Cash Flow From Continuing Financing Activities,,-79.0,,,
Net Other Financing Charges,,-79.0,,,
Proceeds From Stock Option Exercised,,0.0,,,
Net Common Stock Issuance,,0.0,,,
Common Stock Issuance,,0.0,,,
Net Issuance Payments Of Debt,,0.0,,,
Net Long Term Debt Issuance,,0.0,,,
Long Term Debt Payments,,0.0,,,
Investing Cash Flow,,0.0,,,
Cash Flow From Continuing Investing Activities,,0.0,,,
Net Other Investing Changes,,0.0,,,
Operating Cash Flow,-141401.0,-73228.0,-339500.0,0.0,0.0
Cash Flow From Continuing Operating Activities,-141401.0,-73228.0,-339500.0,0.0,0.0
Change In Working Capital,11532.0,80910.0,-172712.0,87.0,8.0
Change In Payables And Accrued Expense,17710.0,28202.0,31490.0,79.0,0.0
Change In Prepaid Assets,-6178.0,52708.0,-204202.0,8.0,8.0
Other Non Cash Items,-914730.0,-1233929.0,80656.0,22750.0,23554.0
Operating Gains Losses,-242750.0,63400.0,,,
Gain Loss On Investment Securities,-242750.0,63400.0,,,
Net Income From Continuing Operations,1004547.0,1016391.0,-967044.0,-22837.0,-23562.0
