,2026-03-31,2025-12-31,2025-03-31,2024-12-31
Free Cash Flow,-42955000.0,-36542000.0,-44653000.0,15894000.0
Repayment Of Debt,,0.0,0.0,0.0
Issuance Of Capital Stock,110503000.0,149756000.0,0.0,
Capital Expenditure,-445000.0,,,-7667000.0
End Cash Position,10054000.0,3822000.0,0.0,0.0
Beginning Cash Position,3822000.0,7976000.0,0.0,0.0
Changes In Cash,6232000.0,-4154000.0,,
Financing Cash Flow,110503000.0,149756000.0,38661000.0,78434000.0
Cash Flow From Continuing Financing Activities,110503000.0,149756000.0,38661000.0,78434000.0
Net Other Financing Charges,,-115752000.0,38661000.0,99278000.0
Proceeds From Stock Option Exercised,,0.0,,
Net Common Stock Issuance,110503000.0,149756000.0,0.0,
Common Stock Issuance,110503000.0,149756000.0,0.0,
Net Issuance Payments Of Debt,,0.0,0.0,0.0
Net Long Term Debt Issuance,,0.0,0.0,0.0
Long Term Debt Payments,,0.0,0.0,0.0
Investing Cash Flow,-61761000.0,-117368000.0,5992000.0,-101995000.0
Cash Flow From Continuing Investing Activities,-61761000.0,-117368000.0,5992000.0,-101995000.0
Net Investment Purchase And Sale,-61316000.0,-117368000.0,3429000.0,-94328000.0
Sale Of Investment,0.0,0.0,3429000.0,6380000.0
Purchase Of Investment,-61316000.0,-117368000.0,0.0,-100708000.0
Net Business Purchase And Sale,,0.0,,
Sale Of Business,,0.0,,
Net PPE Purchase And Sale,-445000.0,0.0,2563000.0,-7667000.0
Sale Of PPE,0.0,0.0,2563000.0,
Purchase Of PPE,-445000.0,0.0,0.0,-7667000.0
Operating Cash Flow,-42510000.0,-36542000.0,-44653000.0,23561000.0
Cash Flow From Continuing Operating Activities,-42510000.0,-36542000.0,-44653000.0,23561000.0
Change In Working Capital,995000.0,-66820000.0,-13468000.0,30284000.0
Change In Payables And Accrued Expense,-486000.0,-64730000.0,-13468000.0,30579000.0
Change In Payable,-486000.0,-64730000.0,-13468000.0,30579000.0
Change In Account Payable,-486000.0,-64730000.0,-13468000.0,30579000.0
Change In Prepaid Assets,-606000.0,110000.0,0.0,-295000.0
Change In Receivables,2087000.0,,0.0,
Other Non Cash Items,-69412000.0,-3972000.0,-12338000.0,-15658000.0
Stock Based Compensation,296000.0,0.0,2145000.0,2876000.0
Unrealized Gain Loss On Investment Securities,117188000.0,112232000.0,112394000.0,-308156000.0
Deferred Tax,956000.0,-7364000.0,-20779000.0,35957000.0
Deferred Income Tax,956000.0,-7364000.0,-20779000.0,35957000.0
Depreciation Amortization Depletion,26620000.0,26649000.0,6424000.0,4953000.0
Depreciation And Amortization,26620000.0,26649000.0,6424000.0,4953000.0
Depreciation,,,6424000.0,
Operating Gains Losses,-37361000.0,-37813000.0,-18408000.0,13143000.0
Gain Loss On Investment Securities,-37361000.0,-37813000.0,-20862000.0,13143000.0
Gain Loss On Sale Of PPE,0.0,0.0,2454000.0,
Net Income From Continuing Operations,-81792000.0,-59454000.0,-100623000.0,260162000.0
