,2026-03-31,2025-09-30,2025-03-31,2024-09-30
Ordinary Shares Number,4392559.0,4392559.0,4392559.0,4392559.0
Share Issued,4392559.0,4392559.0,4392559.0,4392559.0
Total Debt,2080000.0,2430000.0,2780000.0,2090000.0
Tangible Book Value,4237060000.0,4046650000.0,3846730000.0,3654420000.0
Invested Capital,4237060000.0,4046650000.0,3846730000.0,3654420000.0
Working Capital,2927420000.0,2686290000.0,2482110000.0,2466920000.0
Net Tangible Assets,4237060000.0,4046650000.0,3846730000.0,3654420000.0
Capital Lease Obligations,2080000.0,2430000.0,2780000.0,2090000.0
Common Stock Equity,4237060000.0,4046650000.0,3846730000.0,3654420000.0
Total Capitalization,4237060000.0,4046650000.0,3846730000.0,3654420000.0
Total Equity Gross Minority Interest,4237060000.0,4046650000.0,3846730000.0,3654420000.0
Stockholders Equity,4237060000.0,4046650000.0,3846730000.0,3654420000.0
Other Equity Interest,4193130000.0,4002720000.0,3802800000.0,3610490000.0
Retained Earnings,,,3227550000.0,
Capital Stock,43930000.0,43930000.0,43930000.0,43930000.0
Common Stock,43930000.0,43930000.0,43930000.0,43930000.0
Total Liabilities Net Minority Interest,479410000.0,438310000.0,425400000.0,356340000.0
Total Non Current Liabilities Net Minority Interest,122740000.0,80340000.0,71210000.0,58100000.0
Non Current Pension And Other Postretirement Benefit Plans,106750000.0,,51380000.0,
Non Current Deferred Taxes Liabilities,7150000.0,17800000.0,16400000.0,10380000.0
Long Term Debt And Capital Lease Obligation,1380000.0,1700000.0,2010000.0,1510000.0
Long Term Capital Lease Obligation,1380000.0,1700000.0,2010000.0,1510000.0
Long Term Provisions,,53370000.0,51380000.0,44830000.0
Current Liabilities,356670000.0,357970000.0,354190000.0,298240000.0
Other Current Liabilities,27740000.0,33570000.0,9070000.0,25270000.0
Current Deferred Taxes Liabilities,,,2350000.0,
Current Debt And Capital Lease Obligation,700000.0,730000.0,770000.0,580000.0
Current Capital Lease Obligation,700000.0,730000.0,770000.0,580000.0
Pensionand Other Post Retirement Benefit Plans Current,,,12240000.0,
Current Provisions,42620000.0,28360000.0,18890000.0,32760000.0
Payables,231880000.0,230780000.0,286800000.0,167940000.0
Other Payable,,,116000000.0,
Dividends Payable,,,1790000.0,
Total Tax Payable,9650000.0,13270000.0,2350000.0,16360000.0
Accounts Payable,222230000.0,217510000.0,169010000.0,151580000.0
Total Assets,4716470000.0,4484960000.0,4272130000.0,4010760000.0
Total Non Current Assets,1432380000.0,1440700000.0,1435830000.0,1245600000.0
Other Non Current Assets,39610000.0,1620000.0,8240000.0,40590000.0
Non Current Prepaid Assets,28650000.0,27640000.0,43200000.0,
Investmentin Financial Assets,7610000.0,7370000.0,7320000.0,8030000.0
Available For Sale Securities,7610000.0,7370000.0,7320000.0,8030000.0
Investment Properties,124380000.0,124700000.0,126900000.0,
Net PPE,1232130000.0,1279370000.0,1265730000.0,1169380000.0
Accumulated Depreciation,,,-701250000.0,
Gross PPE,1232130000.0,1279370000.0,1966980000.0,1169380000.0
Construction In Progress,15590000.0,40360000.0,129430000.0,119730000.0
Other Properties,1216540000.0,1239010000.0,3700000.0,1049650000.0
Machinery Furniture Equipment,,,1648300000.0,
Buildings And Improvements,,,183740000.0,
Land And Improvements,,,1810000.0,
Properties,,,0.0,
Current Assets,3284090000.0,3044260000.0,2836300000.0,2765160000.0
Other Current Assets,51690000.0,55950000.0,33140000.0,32340000.0
Restricted Cash,,,1790000.0,
Prepaid Assets,,,31860000.0,
Inventory,466540000.0,412800000.0,372560000.0,361460000.0
Finished Goods,,,33360000.0,
Work In Process,,,108970000.0,
Raw Materials,,,230230000.0,
Other Receivables,,,70340000.0,
Accounts Receivable,328020000.0,319580000.0,328100000.0,255330000.0
Allowance For Doubtful Accounts Receivable,,,-4800000.0,
Gross Accounts Receivable,,,332900000.0,
Cash Cash Equivalents And Short Term Investments,2437840000.0,2255930000.0,2031650000.0,2116030000.0
Other Short Term Investments,2335440000.0,1761850000.0,1885000000.0,1992330000.0
Cash And Cash Equivalents,102400000.0,494080000.0,146650000.0,123700000.0
Cash Equivalents,,,88570000.0,
Cash Financial,,,58080000.0,
